Region	Address	EndAddress	Length	Type	Description	Details
ram	$7E0000	$7E002F	48 bytes	Misc.	Scratch RAM, used like "registers" for various operations	
ram	$7E0030	$7E0031	2 bytes	Timer	Frame counter	
ram	$7E0032	$7E0034	3 bytes	Pointer	Pointer to level object data	
ram	$7E0035		1 byte	Controller	Controller 1 Data 1, mirror of $7E093C	
ram	$7E0036		1 byte	Controller	Controller 1 Data 2, mirror of $7E093D	
ram	$7E0037		1 byte	Controller	Controller 1 Data 1 on press/first frame, mirror of $7E093E	
ram	$7E0038		1 byte	Controller	Controller 1 Data 2 on press/first frame, mirror of $7E093F	
ram	$7E0039	$7E003A	2 bytes	Misc.	Layer 1 Camera X	
ram	$7E003B	$7E003C	2 bytes	Misc.	Layer 1 Camera Y	
ram	$7E003D	$7E003E	2 bytes	Misc.	Layer 2 Camera X	
ram	$7E003F	$7E0040	2 bytes	Misc.	Layer 2 Camera Y	
ram	$7E0041	$7E0042	2 bytes	Misc.	Layer 3 Camera X (also for World Map)	
ram	$7E0043	$7E0044	2 bytes	Misc.	Layer 3 Camera Y	
ram	$7E0045	$7E0046	2 bytes	Misc.	Layer 4 Camera X	
ram	$7E0047	$7E0048	2 bytes	Misc.	Layer 4 Camera Y	
ram	$7E0049	$7E004C	4 bytes	Empty	Unused RAM, cleared (with $00) during every loading screen	
ram	$7E004D	$7E004E	2 bytes	Sound Effect	Music track to be played - mirror of hardware register $2140 (APU I/O 0)	
ram	$7E004F	$7E0050	2 bytes	Sound Effect	Previous value of $7E004D (if previous == current value of hardware register $2140, do not write to register)	
ram	$7E0051	$7E0052	2 bytes	Sound Effect	Mirror of hardware register $2141 (APU I/O 1, pseudo-noise loop)	
ram	$7E0053	$7E0054	2 bytes	Sound Effect	Sound ID to be played instantly, bypasses the sound queue, directly written to hardware register $2143	
ram	$7E0055	$7E0056	2 bytes	Sound Effect	Previous value of $7E0053 (if previous == current value in hardware register $2143, do not write to register)	
ram	$7E0057	$7E0058	2 bytes	Sound Effect	Current size of sound queue (capacity 7)	
ram	$7E0059	$7E0068	16 bytes	Sound Effect	Sound effect queue, NOT all sounds currently playing, but instead all sound ID's (1 byte per) to be submitted for play at the current time; each frame the queue index decrements, meaning at most one sound submitted per frame	
ram	$7E0069	$7E006A	2 bytes	Map	World Map: Layer 1 scroll Mirrored by $7E006D	
ram	$7E006B	$7E006C	2 bytes	Misc.	Yoshi's jump state, mirror of $7000C0	
ram	$7E006D	$7E006E	2 bytes	Map	World Map: Layer 2 scroll	
ram	$7E0072	$7E0073	2 bytes	Map	World Map: Current stage Yoshi sprite Y coordinate	
